"page","viewport","overflow","scrollWidth","offenders"
"ressources/activite-02-fiche-eleve-classe.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-fiche-eleve-classe.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-fiche-eleve-musee.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""observation-grid"",""id"":"""",""w"":302,""cw"":297,""right"":336},{""tag"":""TABLE"",""cls"":""association-board"",""id"":"""",""w"":377,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":377,""cw"":377,""right"":416},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":376,""cw"":376,""right"":416}]"
"ressources/activite-02-fiche-eleve-musee.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-fiche-eleve-musee.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-grille-association.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""association-board"",""id"":"""",""w"":458,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":458,""cw"":458,""right"":497},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":457,""cw"":457,""right"":496},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":457,""cw"":457,""right"":496}]"
"ressources/activite-02-grille-association.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-grille-association.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-guide-enseignant.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""observation-table"",""id"":"""",""w"":552,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":552,""cw"":552,""right"":591},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":551,""cw"":551,""right"":591},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":551,""cw"":551,""right"":591}]"
"ressources/activite-02-guide-enseignant.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-guide-enseignant.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-guide-musee.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-02-guide-musee.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-guide-musee.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-achille-histoire-transformee.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":""introduction"",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-03-achille-histoire-transformee.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":""introduction"",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-achille-histoire-transformee.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":""introduction"",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-album-classe.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-03-album-classe.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-album-classe.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-cartes-chronologiques.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""DIV"",""cls"":""chronology-track"",""id"":"""",""w"":820,""cw"":297,""right"":336},{""tag"":""DIV"",""cls"":"""",""id"":"""",""w"":126,""cw"":126,""right"":445},{""tag"":""DIV"",""cls"":"""",""id"":"""",""w"":126,""cw"":126,""right"":583},{""tag"":""DIV"",""cls"":"""",""id"":"""",""w"":126,""cw"":126,""right"":721}]"
"ressources/activite-03-cartes-chronologiques.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":773,""cw"":713,""right"":733},{""tag"":""DIV"",""cls"":""chronology-track"",""id"":"""",""w"":820,""cw"":659,""right"":706},{""tag"":""DIV"",""cls"":"""",""id"":"""",""w"":126,""cw"":126,""right"":867}]"
"ressources/activite-03-cartes-chronologiques.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-corpus-images.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""asset-status"",""id"":"""",""w"":539,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":539,""cw"":539,""right"":578},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":538,""cw"":538,""right"":577},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":538,""cw"":538,""right"":577}]"
"ressources/activite-03-corpus-images.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-corpus-images.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-corrige-evaluation.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""correction-table"",""id"":"""",""w"":367,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":367,""cw"":367,""right"":406},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":366,""cw"":366,""right"":405},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":366,""cw"":366,""right"":405}]"
"ressources/activite-03-corrige-evaluation.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-corrige-evaluation.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-exemple-production.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-03-exemple-production.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-exemple-production.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-fiche-eleve-classe.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-03-fiche-eleve-classe.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-fiche-eleve-classe.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-fiche-eleve-musee.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-03-fiche-eleve-musee.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
